Ticker,Current Stock Price,Bid,Ask,Strike,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Expiration,DTE,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,Score,IV Percentile (Scan),Final Score
COIN,200.62,2.38,2.5,212.5,0.266,0.0592,238.0,20062.0,0.0119,0.266,238.0,1.0825,2026-03-27,4,0.0492,1242,5766,0.7757,2026-05-07,45.0,NO,0.6052,97.1,0.6001
MU,404.35,5.3,5.55,422.5,0.294,0.0449,530.0,40435.0,0.0131,0.294,530.0,1.1961,2026-03-27,4,0.0461,3009,265,0.7248,,,NO,0.6101,81.4,0.5958
ASML,1369.62,12.5,14.8,1415.0,0.298,0.0331,1250.0,136962.0,0.0091,0.298,1250.0,0.8328,2026-03-27,4,0.1685,36,10,0.5249,,,NO,0.6263,60.0,0.5591
CVNA,299.6,3.8,4.65,315.0,0.287,0.0514,380.0,29960.0,0.0127,0.287,380.0,1.1574,2026-03-27,4,0.2012,376,311,0.7853,,,NO,0.4787,100.0,0.5198
GLD,404.04,3.25,3.65,420.0,0.263,0.0395,325.0,40404.0,0.008,0.263,325.0,0.734,2026-03-27,4,0.1159,1780,948,0.5411,,,NO,0.5311,65.7,0.4908
LRCX,233.31,2.28,2.5,245.0,0.266,0.0501,228.0,23331.0,0.0098,0.266,228.0,0.8917,2026-03-27,4,0.0921,562,1824,0.6484,,,NO,0.5055,68.6,0.4878
TSLA,380.85,2.53,2.55,392.5,0.267,0.0306,253.0,38085.0,0.0066,0.267,253.0,0.6062,2026-03-27,4,0.0079,7618,9928,0.4177,2026-04-28,36.0,NO,0.5898,22.9,0.4798
AVGO,322.51,2.48,2.74,332.5,0.28,0.031,248.0,32251.0,0.0077,0.28,248.0,0.7017,2026-03-27,4,0.0996,898,531,0.4586,,,NO,0.4888,31.4,0.4249
GS,831.27,4.95,6.05,860.0,0.263,0.0346,495.0,83127.0,0.006,0.263,495.0,0.5434,2026-03-27,4,0.2,373,456,0.4202,2026-04-13,21.0,NO,0.4988,27.1,0.4163
CRWD,413.31,3.0,3.65,430.0,0.273,0.0404,300.0,41331.0,0.0073,0.273,300.0,0.6623,2026-03-27,4,0.1955,647,268,0.4963,,,NO,0.463,37.1,0.4099
META,604.06,2.04,2.1,625.0,0.187,0.0347,204.0,60406.0,0.0034,0.187,204.0,0.3082,2026-03-27,4,0.029,1934,980,0.3328,2026-04-29,37.0,NO,0.5315,2.9,0.3976
CAT,701.7,3.0,3.4,730.0,0.197,0.0403,300.0,70170.0,0.0043,0.197,300.0,0.3901,2026-03-27,4,0.125,87,135,0.4176,,,NO,0.4603,20.0,0.3709
LLY,910.55,2.07,2.3,955.0,0.13,0.0488,207.0,91055.0,0.0023,0.13,207.0,0.2074,2026-03-27,4,0.1053,126,79,0.3769,,,NO,0.4616,8.6,0.3471
