Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,Strategy Mode,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Target Delta,Target OTM,Score,IV Percentile (Scan),Final Score
MU,420.59,2026-04-17,4,440.0,CALL,MU260417C00440000,7.7,8.0,0.326,0.0461,770.0,42059.0,0.0183,0.326,770.0,1.6706,0.0382,3283,5314,0.666,,,NO,397.55,402.96,0.0376,neutral,balanced,0.77,0.9143,0.9745,0.8089,1.0,0.6103,0.3,0.045,0.8415,94.3,0.8295
COIN,167.85,2026-04-17,4,175.0,CALL,COIN260417C00175000,3.15,3.3,0.338,0.0426,315.0,16785.0,0.0188,0.338,315.0,1.7125,0.0465,4891,6174,0.6453,2026-05-14,31.0,NO,182.54,179.57,-0.1313,neutral,balanced,0.315,0.872,0.9466,0.7674,1.0,0.6256,0.3,0.045,0.7317,77.1,0.7221
NET,166.99,2026-04-17,4,175.0,CALL,NET260417C00175000,4.65,4.95,0.366,0.048,465.0,16699.0,0.0278,0.366,465.0,2.5409,0.0625,595,591,0.8794,,,NO,208.8,193.57,-0.2127,neutral,balanced,0.465,0.7807,0.9341,0.3547,1.0,0.9282,0.3,0.045,0.7127,100.0,0.7164
AMD,245.04,2026-04-17,4,255.0,CALL,AMD260417C00255000,2.98,3.1,0.294,0.0406,298.0,24504.0,0.0122,0.294,298.0,1.1097,0.0395,5185,1343,0.4953,2026-05-05,22.0,NO,210.44,209.35,0.2392,up,balanced,0.298,0.9817,0.9033,0.7041,1.0,0.4054,0.3,0.045,0.707,45.7,0.7092
PLTR,128.06,2026-04-17,4,133.0,CALL,PLTR260417C00133000,2.02,2.09,0.323,0.0386,202.0,12806.0,0.0158,0.323,202.0,1.4394,0.0341,17549,3446,0.5655,2026-05-04,21.0,NO,147.76,144.33,-0.1657,neutral,balanced,0.202,0.9223,0.8572,0.8297,1.0,0.5258,0.3,0.045,0.7055,60.0,0.69
META,629.86,2026-04-17,4,645.0,CALL,META260417C00645000,4.85,5.0,0.292,0.024,485.0,62986.0,0.0077,0.292,485.0,0.7026,0.0305,922,1761,0.3068,2026-04-29,16.0,NO,591.3,633.61,-0.013,neutral,balanced,0.485,0.9723,0.5342,0.7885,1.0,0.2567,0.3,0.045,0.6855,27.1,0.6555
NFLX,103.01,2026-04-17,4,108.0,CALL,NFLX260417C00108000,1.57,1.61,0.302,0.0484,157.0,10301.0,0.0152,0.302,157.0,1.3908,0.0252,1425,12159,0.6046,2026-04-16,3.0,YES,95.6,89.7,0.0922,up,balanced,0.157,0.9943,0.9235,0.8742,0.0,0.508,0.3,0.045,0.6167,68.6,0.6393
AVGO,371.55,2026-04-17,4,380.0,CALL,AVGO260417C00380000,5.2,5.6,0.371,0.0227,520.0,37155.0,0.014,0.371,520.0,1.2771,0.0741,5852,3890,0.4256,,,NO,322.04,326.61,0.1059,neutral,balanced,0.52,0.7627,0.5054,0.6296,1.0,0.4665,0.3,0.045,0.6412,37.1,0.6206
NVDA,188.63,2026-04-17,4,192.5,CALL,NVDA260417C00192500,1.53,1.56,0.321,0.0205,153.0,18863.0,0.0081,0.321,153.0,0.7401,0.0194,31085,18136,0.2881,2026-05-27,44.0,NO,177.42,182.08,0.03,neutral,balanced,0.153,0.93,0.4559,0.9029,1.0,0.2704,0.3,0.045,0.6194,11.4,0.5882
BABA,127.33,2026-04-17,4,130.0,CALL,BABA260417C00130000,1.55,1.6,0.359,0.021,155.0,12733.0,0.0122,0.359,155.0,1.1108,0.0317,6220,26274,0.377,2026-05-21,38.0,NO,126.77,141.63,-0.0512,neutral,balanced,0.155,0.8027,0.466,0.8413,1.0,0.4058,0.3,0.045,0.5993,34.3,0.5815
