Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,HV Rank,RSI,Beta,Strategy Mode,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Target Delta,Target OTM,Score,IV Percentile (Scan),Owned Position,Final Score
AMD,512.21,2026-07-24,4,530.0,CALL,AMD260724C00530000,14.5,14.75,0.382,0.0347,1450.0,51221.0,0.0283,0.382,1450.0,2.5832,0.0171,1184,1053,0.9214,2026-08-04,15.0,NO,533.02,499.08,-0.0326,neutral,0.59,44.5,3.328,income,1.0,0.9946,0.6107,0.943,1.0,0.9436,0.38,0.025,0.9443,61.4,False,0.8674
SPCX,122.48,2026-07-24,4,126.0,CALL,SPCX260724C00126000,2.85,2.9,0.378,0.0287,285.0,12248.25,0.0233,0.378,285.0,2.1233,0.0174,2229,985,0.7588,,,NO,,,,unknown,,,,income,0.285,0.9956,0.8513,0.942,1.0,0.7756,0.38,0.025,0.7412,45.7,True,0.8373
MU,886.46,2026-07-24,4,920.0,CALL,MU260724C00920000,29.8,30.7,0.393,0.0378,2980.0,88645.5,0.0336,0.393,2980.0,3.0676,0.0298,1134,406,1.069,,,NO,1023.33,933.57,-0.1861,neutral,0.7257,20.9,3.482,income,1.0,0.9653,0.4863,0.7531,1.0,1.0,0.38,0.025,0.9088,74.0,False,0.8348
META,648.79,2026-07-24,4,660.0,CALL,META260724C00660000,9.1,9.6,0.379,0.0173,910.0,64879.0,0.014,0.379,910.0,1.2799,0.0535,4628,1493,0.4753,2026-07-29,9.0,NO,605.25,604.23,0.1382,up,1.0,67.8,1.701,income,0.91,0.9971,0.6911,0.8217,1.0,0.4675,0.38,0.025,0.8176,13.4,False,0.8302
DELL,387.4,2026-07-24,4,400.0,CALL,DELL260724C00400000,9.7,10.4,0.378,0.0325,970.0,38740.0,0.025,0.378,970.0,2.2848,0.0697,1036,633,0.8459,,,NO,419.8,365.37,-0.0548,neutral,0.4034,47.6,1.739,income,0.97,0.9945,0.699,0.7052,1.0,0.8346,0.38,0.025,0.8866,51.2,False,0.8147
TXN,287.54,2026-07-24,4,300.0,CALL,TXN260724C00300000,8.55,9.35,0.371,0.0433,855.0,28754.0,0.0297,0.371,855.0,2.7133,0.0894,253,1245,1.0452,,,NO,301.68,301.33,-0.0592,neutral,0.8755,38.7,1.855,income,0.855,0.9775,0.2667,0.5918,1.0,0.9912,0.38,0.025,0.826,68.5,False,0.8114
IBM,215.25,2026-07-24,4,220.0,CALL,IBM260724C00220000,4.8,4.8,0.396,0.0221,480.0,21525.0,0.0223,0.396,480.0,2.0348,0.0,1753,2911,0.6809,,,NO,266.74,261.6,-0.1894,neutral,1.0,35.8,0.515,income,0.48,0.9571,0.8827,1.0,1.0,0.7433,0.38,0.025,0.7913,40.2,False,0.7922
CRWD,205.12,2026-07-24,4,210.0,CALL,CRWD260724C00210000,4.45,4.55,0.388,0.0238,445.0,20512.0,0.0217,0.388,445.0,1.9796,0.0222,626,1279,0.6871,,,NO,188.51,171.97,0.1894,up,0.6274,69.0,1.102,income,0.445,0.9777,0.9516,0.9259,1.0,0.7232,0.38,0.025,0.777,42.5,False,0.7717
MRVL,197.07,2026-07-24,4,205.0,CALL,MRVL260724C00205000,6.6,7.25,0.391,0.0402,660.0,19707.5,0.0335,0.391,660.0,3.0559,0.0939,1306,532,1.1111,,,NO,251.41,235.5,-0.3482,neutral,0.4817,26.7,3.717,income,0.66,0.9704,0.3915,0.5866,1.0,1.0,0.38,0.025,0.7842,79.5,False,0.7195
NOW,104.82,2026-07-24,4,110.0,CALL,NOW260724C00110000,4.3,4.4,0.391,0.0494,430.0,10482.0,0.041,0.391,430.0,3.7433,0.023,3156,3549,1.3215,,,NO,102.41,103.34,0.0813,neutral,0.5046,67.4,0.624,income,0.43,0.9699,0.0233,0.9234,1.0,1.0,0.38,0.025,0.7409,88.2,False,0.7195
