Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,Strategy Mode,Target Delta,Target OTM,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Score,IV Percentile (Scan),Final Score
ASML,1478.28,2026-04-17,5,1570.0,CALL,ASML260417C01570000,21.1,22.9,0.285,0.062,2110.0,147828.0,0.0143,0.285,2110.0,1.042,0.0818,37,38,0.6559,,,NO,1357.72,1392.6,0.0937,neutral,balanced,0.3,0.045,1.0,0.8914,0.6591,0.235,1.0,0.4758,0.8141,58.7,0.7645
MU,420.59,2026-04-17,5,445.0,CALL,MU260417C00445000,6.45,6.9,0.282,0.058,645.0,42059.0,0.0153,0.282,645.0,1.1195,0.0674,971,2154,0.6643,,,NO,397.55,402.96,0.0376,neutral,balanced,0.3,0.045,0.6056,0.8743,0.7392,0.5269,1.0,0.5112,0.7698,73.9,0.7404
AMD,245.04,2026-04-17,5,255.0,CALL,AMD260417C00255000,2.98,3.1,0.294,0.0406,298.0,24504.0,0.0122,0.294,298.0,0.8878,0.0395,5185,1343,0.4953,2026-05-05,23.0,NO,210.44,209.35,0.2392,up,balanced,0.3,0.045,0.22,0.9607,0.9129,0.6744,1.0,0.4054,0.7174,39.1,0.7195
BLK,999.31,2026-04-17,5,1030.0,CALL,BLK260417C01030000,9.0,11.1,0.296,0.0307,900.0,99931.0,0.009,0.296,900.0,0.6575,0.209,11,169,0.3917,,,NO,965.43,1020.06,0.0828,neutral,balanced,0.3,0.045,0.8889,0.9729,0.7142,0.0089,1.0,0.3002,0.7452,23.9,0.6802
COIN,167.85,2026-04-17,5,177.5,CALL,COIN260417C00177500,2.48,2.55,0.28,0.0575,248.0,16785.0,0.0148,0.28,248.0,1.0786,0.0278,8375,1980,0.6466,2026-05-14,32.0,NO,182.54,179.57,-0.1313,neutral,balanced,0.3,0.045,0.1644,0.8586,0.7502,0.7397,1.0,0.4925,0.683,50.0,0.6501
AMAT,399.49,2026-04-17,5,417.5,CALL,AMAT260417C00417500,4.15,5.15,0.283,0.0451,415.0,39949.0,0.0104,0.283,415.0,0.7583,0.2151,38,29,0.5041,,,NO,357.09,351.07,0.1845,up,balanced,0.3,0.045,0.35,0.8807,0.9984,0.0075,1.0,0.3463,0.6233,41.3,0.6441
NET,166.99,2026-04-17,5,180.0,CALL,NET260417C00180000,3.3,3.7,0.283,0.0779,330.0,16699.0,0.0198,0.283,330.0,1.4426,0.1143,973,155,0.8913,,,NO,208.8,193.57,-0.2127,neutral,balanced,0.3,0.045,0.2556,0.8821,0.3418,0.2877,1.0,0.6587,0.6214,100.0,0.6395
CVNA,336.31,2026-04-17,5,355.0,CALL,CVNA260417C00355000,4.8,5.45,0.289,0.0556,480.0,33631.0,0.0143,0.289,480.0,1.0419,0.1268,76,96,0.6467,,,NO,308.52,335.27,0.1492,neutral,balanced,0.3,0.045,0.4222,0.9193,0.7885,0.0939,1.0,0.4758,0.6641,52.2,0.6363
LRCX,263.66,2026-04-17,5,280.0,CALL,LRCX260417C00280000,3.25,3.65,0.261,0.062,325.0,26366.0,0.0123,0.261,325.0,0.8998,0.1159,574,911,0.6298,,,NO,227.09,228.2,0.2586,neutral,balanced,0.3,0.045,0.25,0.7229,0.6605,0.2472,1.0,0.4109,0.5657,45.7,0.5504
META,629.86,2026-04-17,5,650.0,CALL,META260417C00650000,3.6,3.75,0.233,0.032,360.0,62986.0,0.0057,0.233,360.0,0.4172,0.0408,4041,7527,0.3049,2026-04-29,17.0,NO,591.3,633.61,-0.013,neutral,balanced,0.3,0.045,0.2889,0.5221,0.7395,0.8639,1.0,0.1905,0.5921,2.2,0.5373
AVGO,371.55,2026-04-17,5,390.0,CALL,AVGO260417C00390000,2.54,2.81,0.232,0.0497,254.0,37155.0,0.0068,0.232,254.0,0.499,0.1009,3943,13571,0.4287,,,NO,322.04,326.61,0.1059,neutral,balanced,0.3,0.045,0.1711,0.5107,0.9069,0.6636,1.0,0.2279,0.5533,34.8,0.5315
GS,907.8,2026-04-17,5,940.0,CALL,GS260417C00940000,7.6,8.8,0.266,0.0355,760.0,90780.0,0.0084,0.266,760.0,0.6111,0.1463,263,339,0.3922,2026-04-13,1.0,YES,838.56,872.51,0.1527,neutral,balanced,0.3,0.045,0.7333,0.7536,0.8094,0.0702,0.0,0.2791,0.5452,28.3,0.5197
CAT,790.66,2026-04-17,5,820.0,CALL,CAT260417C00820000,4.15,4.55,0.229,0.0371,415.0,79066.0,0.0052,0.229,415.0,0.3832,0.092,330,1415,0.3232,,,NO,715.66,723.31,0.1284,neutral,balanced,0.3,0.045,0.35,0.495,0.8422,0.3074,1.0,0.175,0.5214,15.2,0.4897
LLY,939.47,2026-04-17,5,970.0,CALL,LLY260417C00970000,5.05,5.95,0.233,0.0325,505.0,93947.0,0.0054,0.233,505.0,0.3924,0.1636,183,261,0.3199,,,NO,927.73,985.87,-0.0387,neutral,balanced,0.3,0.045,0.45,0.52,0.7499,0.0414,1.0,0.1792,0.5011,13.0,0.4713
