Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,Strategy Mode,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Target Delta,Target OTM,Score,IV Percentile (Scan),Final Score
MU,592.52,2026-05-08,4,600.0,CALL,MU260508C00600000,19.15,19.5,0.169,0.0126,1915.0,59252.5,0.0323,0.169,1915.0,2.9491,0.0181,15308,8075,0.7247,,,NO,472.51,428.96,0.569,up,balanced,1.0,0.562,0.2803,0.9094,1.0,1.0,0.3,0.045,0.7819,55.1,0.7813
COIN,200.22,2026-05-08,4,210.0,CALL,COIN260508C00210000,5.8,6.0,0.247,0.0488,580.0,20022.5,0.029,0.247,580.0,2.6433,0.0339,946,2692,0.8828,2026-05-07,3.0,YES,190.57,188.12,0.1455,up,balanced,0.58,0.8227,0.9151,0.8143,0.0,0.9656,0.3,0.045,0.7143,85.7,0.7357
ON,104.38,2026-05-08,4,108.0,CALL,ON260508C00108000,4.25,4.45,0.393,0.0347,425.0,10437.5,0.0407,0.393,425.0,3.7156,0.046,251,4095,1.0145,,,NO,85.19,71.24,0.644,up,balanced,0.425,0.6887,0.7718,0.5454,1.0,1.0,0.3,0.045,0.7027,98.0,0.7314
INTC,99.06,2026-05-08,4,104.0,CALL,INTC260508C00104000,2.45,2.53,0.38,0.0498,245.0,9906.5,0.0247,0.38,245.0,2.2567,0.0321,1676,5761,0.844,2026-07-23,80.0,NO,73.54,56.71,0.9508,up,balanced,0.245,0.732,0.893,0.8394,1.0,0.8244,0.3,0.045,0.7171,59.2,0.725
PLTR,146.67,2026-05-08,4,152.5,CALL,PLTR260508C00152500,4.65,4.75,0.341,0.0397,465.0,14667.0,0.0317,0.341,465.0,2.893,0.0213,1296,8087,0.8781,2026-05-04,0.0,YES,141.5,145.41,-0.0086,neutral,balanced,0.465,0.863,0.8833,0.8936,0.0,1.0,0.3,0.045,0.7151,73.5,0.7053
TSLA,394.16,2026-05-08,4,402.5,CALL,TSLA260508C00402500,4.9,5.0,0.302,0.0212,490.0,39415.84,0.0124,0.302,490.0,1.1344,0.0202,1866,5079,0.401,2026-07-22,79.0,NO,374.65,383.36,0.117,neutral,balanced,0.49,0.994,0.4703,0.899,1.0,0.4144,0.3,0.045,0.7245,30.6,0.6924
CRWD,463.39,2026-05-08,4,480.0,CALL,CRWD260508C00480000,5.35,5.55,0.231,0.0358,535.0,46339.0,0.0115,0.231,535.0,1.0535,0.0367,2027,565,0.4663,,,NO,432.36,414.9,0.1625,up,balanced,0.535,0.7703,0.7965,0.6013,1.0,0.3848,0.3,0.045,0.6684,42.9,0.673
MRVL,165.97,2026-05-08,4,175.0,CALL,MRVL260508C00175000,2.43,2.54,0.28,0.0544,243.0,16596.5,0.0146,0.28,243.0,1.336,0.0443,323,2337,0.6828,,,NO,144.77,111.57,0.5155,up,balanced,0.243,0.9317,0.7902,0.5756,1.0,0.4881,0.3,0.045,0.6592,53.1,0.6698
ORCL,179.56,2026-05-08,4,182.5,CALL,ORCL260508C00182500,4.0,4.25,0.225,0.0164,400.0,17956.0,0.0223,0.225,400.0,2.0327,0.0606,1766,3144,0.5631,,,NO,165.77,156.1,0.2329,up,balanced,0.4,0.7493,0.3639,0.697,1.0,0.7426,0.3,0.045,0.6462,46.9,0.655
HOOD,76.5,2026-05-08,4,78.0,CALL,HOOD260508C00078000,1.66,1.7,0.235,0.0196,166.0,7650.0,0.0217,0.235,166.0,1.9801,0.0238,6857,3857,0.5457,2026-07-29,86.0,NO,79.56,76.33,0.0963,neutral,balanced,0.166,0.785,0.4357,0.881,1.0,0.7233,0.3,0.045,0.6456,44.9,0.6285
