Ticker,Current Stock Price,Expiration,DTE,Strike,Option Type,Option Symbol,Bid,Ask,Delta,OTM,Premium,Capital Required,Return on Capital,Assignment Proxy,Weekly Income Estimate,Annual Yield,Spread%,Volume,Open Interest,Current IV,Next Earnings Date,Days To Earnings,Earnings Risk,SMA20,SMA50,20D Return,Trend,HV Rank,RSI,Beta,Strategy Mode,Premium Score,Delta Score,OTM Score,Liquidity Score,Earnings Score,ROC Score,Target Delta,Target OTM,Score,IV Percentile (Scan),Final Score
AMD,495.54,2026-06-05,9,515.0,CALL,AMD260605C00515000,15.15,16.1,0.393,0.0393,1515.0,49554.0,0.0306,0.393,1515.0,1.2399,0.0608,393,1319,0.7233,2026-08-04,69.0,NO,414.36,309.4,0.5058,up,0.8784,78.6,3.075,income,1.0,0.9658,0.4292,0.4117,1.0,1.0,0.38,0.025,0.8513,61.1,0.8285
AVGO,421.86,2026-06-05,9,440.0,CALL,AVGO260605C00440000,12.55,13.4,0.383,0.043,1255.0,42186.0,0.0297,0.383,1255.0,1.2065,0.0655,313,1982,0.7314,,,NO,419.28,378.97,0.0091,up,0.3532,52.4,1.951,income,1.0,0.9929,0.28,0.4636,1.0,0.9916,0.38,0.025,0.8498,72.2,0.8031
QCOM,233.4,2026-06-05,9,250.0,CALL,QCOM260605C00250000,7.0,7.4,0.337,0.0711,700.0,23340.0,0.03,0.337,700.0,1.2163,0.0556,3147,1523,0.8756,,,NO,199.82,158.94,0.6559,up,0.9559,72.8,1.7,income,0.7,0.8856,0.0,0.6507,1.0,0.9997,0.38,0.025,0.7522,86.1,0.7836
SNOW,175.26,2026-06-05,9,200.0,CALL,SNOW260605C00200000,6.15,6.5,0.289,0.1412,615.0,17526.0,0.0351,0.289,615.0,1.4231,0.0553,4394,1738,1.2705,,,NO,153.66,153.02,0.2312,up,0.4238,78.9,0.981,income,0.615,0.7609,0.0,0.684,1.0,1.0,0.38,0.025,0.7089,100.0,0.6992
INTC,121.77,2026-06-05,9,130.0,CALL,INTC260605C00130000,3.8,4.0,0.346,0.0676,380.0,12177.0,0.0312,0.346,380.0,1.2656,0.0513,4609,5914,0.8777,2026-07-23,57.0,NO,110.98,78.0,0.4533,up,0.6859,67.9,2.848,income,0.38,0.91,0.0,0.7436,1.0,1.0,0.38,0.025,0.6854,88.9,0.6992
GOOGL,388.83,2026-06-05,9,395.0,CALL,GOOGL260605C00395000,4.65,4.9,0.385,0.0159,465.0,38883.0,0.012,0.385,465.0,0.485,0.0524,1634,738,0.2933,2026-07-22,56.0,NO,387.41,342.87,0.11,up,0.9807,54.0,1.407,income,0.465,0.9865,0.6347,0.5489,1.0,0.3986,0.38,0.025,0.6354,22.2,0.6941
NVDA,212.6,2026-06-05,9,217.5,CALL,NVDA260605C00217500,3.05,3.15,0.366,0.023,305.0,21260.0,0.0143,0.366,305.0,0.5818,0.0323,30932,6841,0.369,,,NO,214.66,197.5,-0.0081,neutral,0.8094,62.0,1.839,income,0.305,0.9627,0.9219,0.8387,1.0,0.4782,0.38,0.025,0.6731,36.1,0.6848
NOW,102.12,2026-06-05,9,106.0,CALL,NOW260605C00106000,2.6,2.7,0.376,0.038,260.0,10212.0,0.0255,0.376,260.0,1.0326,0.0377,1232,5791,0.6284,,,NO,94.0,97.84,0.1047,neutral,0.4238,59.1,0.394,income,0.26,0.9894,0.4802,0.8113,1.0,0.8487,0.38,0.025,0.6938,55.6,0.6686
CRM,177.51,2026-06-05,9,190.0,CALL,CRM260605C00190000,4.6,4.85,0.32,0.0704,460.0,17751.0,0.0259,0.32,460.0,1.051,0.0529,1402,963,0.802,,,NO,178.75,181.51,-0.0061,neutral,0.598,44.2,0.328,income,0.46,0.8426,0.0,0.5799,1.0,0.8638,0.38,0.025,0.6418,80.6,0.6491
QQQ,729.45,2026-06-05,9,740.0,CALL,QQQ260605C00740000,4.73,4.8,0.334,0.0145,473.0,72945.0,0.0065,0.334,473.0,0.263,0.0147,1809,3027,0.188,,,NO,698.21,644.76,0.0994,up,0.5634,76.9,1.279,income,0.473,0.878,0.5785,0.9265,1.0,0.2161,0.38,0.025,0.6332,13.9,0.6366
BA,224.3,2026-06-05,9,230.0,CALL,BA260605C00230000,2.84,3.05,0.348,0.0254,284.0,22430.0,0.0127,0.348,284.0,0.5135,0.0713,1126,924,0.3621,2026-07-28,62.0,NO,226.8,218.18,-0.0537,neutral,0.6394,47.9,1.184,income,0.284,0.9153,0.9835,0.4821,1.0,0.4221,0.38,0.025,0.5975,33.3,0.6148
AAPL,310.85,2026-06-05,9,315.0,CALL,AAPL260605C00315000,2.5,2.55,0.363,0.0134,250.0,31085.0,0.008,0.363,250.0,0.3262,0.0198,17864,6126,0.2086,2026-07-30,64.0,NO,291.27,271.53,0.1532,up,0.3577,89.9,0.983,income,0.25,0.9549,0.534,0.901,1.0,0.2681,0.38,0.025,0.591,16.7,0.5715
HOOD,76.23,2026-06-05,9,79.0,CALL,HOOD260605C00079000,1.73,1.83,0.369,0.0363,173.0,7623.0,0.0227,0.369,173.0,0.9204,0.0562,525,545,0.5781,2026-07-29,63.0,NO,76.51,76.23,-0.1175,neutral,0.4332,45.8,3.252,income,0.173,0.9714,0.5465,0.3584,1.0,0.7565,0.38,0.025,0.5852,52.8,0.5703
ORCL,190.96,2026-06-05,9,200.0,CALL,ORCL260605C00200000,2.96,3.1,0.301,0.0473,296.0,19096.0,0.0155,0.301,296.0,0.6286,0.0462,2353,4763,0.5105,,,NO,185.17,167.79,0.1162,up,0.1899,60.8,1.794,income,0.296,0.7921,0.1064,0.769,1.0,0.5167,0.38,0.025,0.5591,44.4,0.556
SPY,750.46,2026-06-05,9,758.0,CALL,SPY260605C00758000,2.82,2.84,0.321,0.01,282.0,75046.0,0.0038,0.321,282.0,0.1524,0.0071,1668,2155,0.1175,,,NO,733.36,698.3,0.0495,up,0.3152,74.0,1.0,income,0.282,0.8439,0.4019,0.9647,1.0,0.1253,0.38,0.025,0.5473,8.3,0.5498
AMZN,271.85,2026-06-05,9,280.0,CALL,AMZN260605C00280000,2.34,2.44,0.287,0.03,234.0,27185.0,0.0086,0.287,234.0,0.3491,0.0418,3507,2976,0.3071,2026-07-30,64.0,NO,267.3,243.08,0.016,neutral,0.1257,42.2,1.274,income,0.234,0.7547,0.8008,0.7908,1.0,0.2869,0.38,0.025,0.5563,30.6,0.5274
